Id	Hour	Min	Month	Date	Weekday
0	21	46	6	23	4
1	21	54	6	23	4
2	21	54	6	23	4
3	21	54	6	23	4
4	21	57	6	23	4
5	21	57	6	23	4
6	21	57	6	23	4
7	22	3	6	23	4
8	22	3	6	23	4
9	22	4	6	23	4
10	22	4	6	23	4
11	23	28	6	23	4
12	23	28	6	23	4
13	11	48	6	24	5
14	11	48	6	24	5
15	11	48	6	24	5
16	11	48	6	24	5
17	11	48	6	24	5
18	11	48	6	24	5
19	11	48	6	24	5
20	11	49	6	24	5
21	11	49	6	24	5
22	12	3	6	24	5
23	12	3	6	24	5
24	12	3	6	24	5
25	12	3	6	24	5
26	12	3	6	24	5
27	12	5	6	24	5
28	12	5	6	24	5
29	13	20	6	24	5
30	13	20	6	24	5
31	13	20	6	24	5
32	13	20	6	24	5
33	13	46	6	24	5
34	13	46	6	24	5
35	13	46	6	24	5
36	13	46	6	24	5
37	14	10	6	24	5
38	14	12	6	24	5
39	18	18	6	24	5
40	18	18	6	24	5
41	18	18	6	24	5
42	18	18	6	24	5
43	18	18	6	24	5
44	18	26	6	24	5
45	18	26	6	24	5
46	18	26	6	24	5
47	13	42	6	25	6
48	13	42	6	25	6
49	13	42	6	25	6
50	13	42	6	25	6
51	13	42	6	25	6
52	13	44	6	25	6
53	13	44	6	25	6
54	13	44	6	25	6
55	13	44	6	25	6
56	13	44	6	25	6
57	13	46	6	25	6
58	13	46	6	25	6
59	13	46	6	25	6
60	13	46	6	25	6
61	13	46	6	25	6
62	16	0	6	25	6
63	16	0	6	25	6
64	16	1	6	25	6
65	16	1	6	25	6
66	16	1	6	25	6
67	16	45	6	25	6
68	16	45	6	25	6
69	16	45	6	25	6
70	16	45	6	25	6
71	16	45	6	25	6
72	16	58	6	25	6
73	16	58	6	25	6
74	16	58	6	25	6
75	16	58	6	25	6
76	16	58	6	25	6
77	17	13	6	25	6
78	17	13	6	25	6
79	17	13	6	25	6
80	17	13	6	25	6
81	17	13	6	25	6
82	20	39	6	25	6
83	21	14	6	25	6
84	21	14	6	25	6
85	21	14	6	25	6
86	21	14	6	25	6
87	21	14	6	25	6
88	21	22	6	25	6
89	21	22	6	25	6
90	21	22	6	25	6
91	21	22	6	25	6
92	21	22	6	25	6
93	22	2	6	25	6
94	22	2	6	25	6
95	22	2	6	25	6
96	22	2	6	25	6
97	23	54	6	25	6
98	23	54	6	25	6
99	23	54	6	25	6
100	23	54	6	25	6
101	23	54	6	25	6
102	23	54	6	25	6
103	23	54	6	25	6
104	0	6	6	26	7
105	0	6	6	26	7
106	1	7	6	26	7
107	1	8	6	26	7
108	1	8	6	26	7
109	1	8	6	26	7
110	1	8	6	26	7
111	1	8	6	26	7
112	10	9	6	26	7
113	10	9	6	26	7
114	10	9	6	26	7
115	10	9	6	26	7
116	10	9	6	26	7
117	10	12	6	26	7
118	10	12	6	26	7
119	10	12	6	26	7
120	10	12	6	26	7
121	10	12	6	26	7
122	10	12	6	26	7
123	13	34	6	26	7
124	13	34	6	26	7
125	13	34	6	26	7
126	13	34	6	26	7
127	13	34	6	26	7
128	13	34	6	26	7
129	13	34	6	26	7
130	13	44	6	26	7
131	13	44	6	26	7
132	13	44	6	26	7
133	14	15	6	26	7
134	14	15	6	26	7
135	14	15	6	26	7
136	14	15	6	26	7
137	14	15	6	26	7
138	14	15	6	26	7
139	20	23	6	26	7
140	20	23	6	26	7
141	20	23	6	26	7
142	20	23	6	26	7
143	20	23	6	26	7
144	20	23	6	26	7
145	20	23	6	26	7
146	20	25	6	26	7
147	20	25	6	26	7
148	20	25	6	26	7
149	22	5	6	26	7
150	22	5	6	26	7
151	22	5	6	26	7
152	22	5	6	26	7
153	22	6	6	26	7
154	14	3	6	27	1
155	14	3	6	27	1
156	14	3	6	27	1
157	14	3	6	27	1
158	14	3	6	27	1
159	14	14	6	27	1
